,Year,Match_Number,Time,Stadium,Team1,Team1_score,Team1_Overs_Played,Team2,Team2_score,Team2_Overs_Played,Win_team
446,2014,Match 11,20:00,"Sharjah Cricket Stadium, Sharjah",Royal Challengers Bangalore,148/5,20/20,Kolkata Knight Riders,150/7,20/20,Kolkata Knight Riders
447,2014,Match 10,20:00,"Dubai International Cricket Stadium, Dubai",Rajasthan Royals,133,19.5/20,Chennai Super Kings,140/6,20/20,Chennai Super Kings
448,2014,Match 9,20:00,"Sharjah Cricket Stadium, Sharjah",Punjab Kings,193/6,20/20,Sunrisers Hyderabad,121,19.2/20,Punjab Kings
449,2014,Match 8,20:00,"Zayed Cricket Stadium, Abu Dhabi",Chennai Super Kings,177/7,20/20,Delhi Capitals,84,15.4/20,Chennai Super Kings
450,2014,Match 7,20:00,"Sharjah Cricket Stadium, Sharjah",Rajasthan Royals,191/5,20/20,Punjab Kings,193/3,18.4/20,Punjab Kings
451,2014,Match 6,20:00,"Dubai International Cricket Stadium, Dubai",Kolkata Knight Riders,166/5,20/20,Delhi Capitals,167/6,19.3/20,Delhi Capitals
452,2014,Match 5,16:00,"Dubai International Cricket Stadium, Dubai",Royal Challengers Bangalore,116/3,17.3/20,Mumbai Indians,115/9,20/20,Royal Challengers Bangalore
453,2014,Match 4,20:00,"Zayed Cricket Stadium, Abu Dhabi",Sunrisers Hyderabad,133/6,20/20,Rajasthan Royals,135/6,19.3/20,Rajasthan Royals
454,2014,Match 3,16:00,"Zayed Cricket Stadium, Abu Dhabi",Chennai Super Kings,205/4,20/20,Punjab Kings,206/4,18.5/20,Punjab Kings
455,2014,Match 2,20:00,"Sharjah Cricket Stadium, Sharjah",Delhi Capitals,145/4,20/20,Royal Challengers Bangalore,146/2,16.4/20,Royal Challengers Bangalore
456,2014,Match 1,20:00,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,122/7,20/20,Kolkata Knight Riders,163/5,20/20,Kolkata Knight Riders
457,2015,Final,20:00,"Eden Gardens, Kolkata",Mumbai Indians,202/5,20/20,Chennai Super Kings,161/8,20/20,Mumbai Indians
458,2015,Qualifier 2,20:00,"JSCA International Cricket Stadium, Ranchi",Chennai Super Kings,140/7,19.5/20,Royal Challengers Bangalore,139/8,20/20,Chennai Super Kings
459,2015,Eliminator,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Royal Challengers Bangalore,180/4,20/20,Rajasthan Royals,109,19/20,Royal Challengers Bangalore
460,2015,Qualifier 1,20:00,"Wankhede Stadium, Mumbai",Chennai Super Kings,162,19/20,Mumbai Indians,187/6,20/20,Mumbai Indians
461,2015,Match 56,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,113,20/20,Mumbai Indians,114/1,13.5/20,Mumbai Indians
462,2015,Match 54,20:00,"Brabourne Stadium, Mumbai",Rajasthan Royals,199/6,20/20,Kolkata Knight Riders,190/9,20/20,Rajasthan Royals
463,2015,Match 53,16:00,"IS Bindra Stadium, Mohali",Punjab Kings,130/7,20/20,Chennai Super Kings,134/3,16.5/20,Chennai Super Kings
464,2015,Match 52,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,135/3,11/11,Royal Challengers Bangalore,83/4,5/6,Royal Challengers Bangalore
465,2015,Match 51,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,171/4,20/20,Kolkata Knight Riders,166/7,20/20,Mumbai Indians
466,2015,Match 50,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,106/6,10/10,Royal Challengers Bangalore,84/6,10/10,Punjab Kings
467,2015,Match 49,20:00,"Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur",Delhi Capitals,120/4,16.4/20,Chennai Super Kings,119/6,20/20,Delhi Capitals
468,2015,Match 48,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,185/5,20/20,Punjab Kings,180/7,20/20,Sunrisers Hyderabad
469,2015,Match 47,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,157/5,20/20,Rajasthan Royals,145/9,20/20,Chennai Super Kings
470,2015,Match 46,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,196/7,20/20,Royal Challengers Bangalore,235/1,20/20,Royal Challengers Bangalore
471,2015,Match 45,20:00,"Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur",Delhi Capitals,157/4,20/20,Sunrisers Hyderabad,163/4,20/20,Sunrisers Hyderabad
472,2015,Match 44,16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,184/9,19.5/20,Punjab Kings,183/5,20/20,Kolkata Knight Riders
473,2015,Match 43,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,158/5,20/20,Mumbai Indians,159/4,19.2/20,Mumbai Indians
474,2015,Match 42,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,171/7,20/20,Delhi Capitals,158/6,20/20,Kolkata Knight Riders
475,2015,Match 41,16:00,"Brabourne Stadium, Mumbai",Rajasthan Royals,194/7,20/20,Sunrisers Hyderabad,201/4,20/20,Sunrisers Hyderabad
476,2015,Match 40,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,226/3,20/20,Punjab Kings,88,13.4/20,Royal Challengers Bangalore
477,2015,Match 39,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,153/5,19.3/20,Delhi Capitals,152/6,20/20,Mumbai Indians
478,2015,Match 38,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,167/7,20/20,Sunrisers Hyderabad,132/9,20/20,Kolkata Knight Riders
479,2015,Match 37,16:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,148/9,20/20,Royal Challengers Bangalore,124,19.4/20,Chennai Super Kings
480,2015,Match 36,20:00,"Brabourne Stadium, Mumbai",Rajasthan Royals,189/2,20/20,Delhi Capitals,175/7,20/20,Rajasthan Royals
481,2015,Match 35,16:00,"IS Bindra Stadium, Mohali",Punjab Kings,149/7,20/20,Mumbai Indians,172/3,20/20,Mumbai Indians
482,2015,Match 34,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,192/7,20/20,Chennai Super Kings,170/6,20/20,Sunrisers Hyderabad
483,2015,Match 33,16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,115/3,4/10,Kolkata Knight Riders,111/4,10/10,Royal Challengers Bangalore
